-----------------------------------------------------------------------
Generation 50

Pacman N°1
[Node 100 | Parent : 98 | Child : R | Depth : 35 | IfNode | Tester : CheckGhostRightToPacman]
[Node 101 | Parent : 100 | Child : L | Depth : 36 | TerminalNode | Direction : RIGHT]
[Node 102 | Parent : 100 | Child : R | Depth : 36 | IfNode | Tester : CheckGhostIsClose]
[Node 103 | Parent : 102 | Child : L | Depth : 37 | IfNode | Tester : CheckGhostRightToPacman]
[Node 106 | Parent : 102 | Child : R | Depth : 37 | IfNode | Tester : CheckGhostIsClose]
[Node 104 | Parent : 103 | Child : L | Depth : 38 | TerminalNode | Direction : LEFT]
[Node 105 | Parent : 103 | Child : R | Depth : 38 | TerminalNode | Direction : RIGHT]
[Node 107 | Parent : 106 | Child : L | Depth : 38 | IfNode | Tester : CheckGhostRightToPacman]
[Node 132 | Parent : 106 | Child : R | Depth : 38 | IfNode | Tester : CheckWallDownToPacman]
[Node 108 | Parent : 107 | Child : L | Depth : 39 | IfNode | Tester : CheckWallLeftToPacman]
[Node 111 | Parent : 107 | Child : R | Depth : 39 | IfNode | Tester : CheckGhostDownToPacman]
[Node 133 | Parent : 132 | Child : L | Depth : 39 | IfNode | Tester : CheckGhostDownToPacman]
[Node 136 | Parent : 132 | Child : R | Depth : 39 | IfNode | Tester : CheckPacgumIsClose]
[Node 109 | Parent : 108 | Child : L | Depth : 40 | TerminalNode | Direction : DOWN]
[Node 110 | Parent : 108 | Child : R | Depth : 40 | TerminalNode | Direction : LEFT]
[Node 112 | Parent : 111 | Child : L | Depth : 40 | IfNode | Tester : CheckGhostDownToPacman]
[Node 117 | Parent : 111 | Child : R | Depth : 40 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 134 | Parent : 133 | Child : L | Depth : 40 | TerminalNode | Direction : DOWN]
[Node 135 | Parent : 133 | Child : R | Depth : 40 | TerminalNode | Direction : UP]
[Node 137 | Parent : 136 | Child : L | Depth : 40 | TerminalNode | Direction : DOWN]
[Node 138 | Parent : 136 | Child : R | Depth : 40 | TerminalNode | Direction : DOWN]
[Node 113 | Parent : 112 | Child : L | Depth : 41 | IfNode | Tester : CheckPacgumIsClose]
[Node 116 | Parent : 112 | Child : R | Depth : 41 | TerminalNode | Direction : UP]
[Node 118 | Parent : 117 | Child : L | Depth : 41 | IfNode | Tester : CheckWallLeftToPacman]
[Node 129 | Parent : 117 | Child : R | Depth : 41 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 114 | Parent : 113 | Child : L | Depth : 42 | TerminalNode | Direction : UP]
